time_bin,direction,metric,weekpart,season,sum_flow,sample_count
00:00,All directions,trt,Weekend,Winter,0.0,178
00:00,All directions,ucv,Weekday,Autumn,2.0,547
00:00,All directions,ucv,Weekday,Spring,0.0,557
00:00,All directions,ucv,Weekday,Summer,0.0,586
00:00,All directions,ucv,Weekday,Winter,0.0,437
00:00,All directions,ucv,Weekend,Autumn,0.0,221
00:00,All directions,ucv,Weekend,Spring,0.0,228
00:00,All directions,ucv,Weekend,Summer,1.0,236
00:00,All directions,ucv,Weekend,Winter,0.0,178
00:00,Eastbound Centre Lane,art3,Weekday,Autumn,0.0,545
00:00,Eastbound Centre Lane,art3,Weekday,Spring,0.0,555
00:00,Eastbound Centre Lane,art3,Weekday,Summer,4.0,586
00:00,Eastbound Centre Lane,art3,Weekday,Winter,0.0,435
00:00,Eastbound Centre Lane,art3,Weekend,Autumn,0.0,221
00:00,Eastbound Centre Lane,art3,Weekend,Spring,3.0,228
00:00,Eastbound Centre Lane,art3,Weekend,Summer,3.0,236
00:00,Eastbound Centre Lane,art3,Weekend,Winter,0.0,178
00:00,Eastbound Centre Lane,art4,Weekday,Autumn,1.0,545
00:00,Eastbound Centre Lane,art4,Weekday,Spring,2.0,555
00:00,Eastbound Centre Lane,art4,Weekday,Summer,0.0,586
00:00,Eastbound Centre Lane,art4,Weekday,Winter,2.0,435
00:00,Eastbound Centre Lane,art4,Weekend,Autumn,0.0,221
00:00,Eastbound Centre Lane,art4,Weekend,Spring,2.0,228
00:00,Eastbound Centre Lane,art4,Weekend,Summer,1.0,236
00:00,Eastbound Centre Lane,art4,Weekend,Winter,1.0,178
00:00,Eastbound Centre Lane,art5,Weekday,Autumn,27.0,545
00:00,Eastbound Centre Lane,art5,Weekday,Spring,25.0,555
00:00,Eastbound Centre Lane,art5,Weekday,Summer,34.0,586
00:00,Eastbound Centre Lane,art5,Weekday,Winter,9.0,435
00:00,Eastbound Centre Lane,art5,Weekend,Autumn,2.0,221
00:00,Eastbound Centre Lane,art5,Weekend,Spring,7.0,228
00:00,Eastbound Centre Lane,art5,Weekend,Summer,2.0,236
00:00,Eastbound Centre Lane,art5,Weekend,Winter,0.0,178
00:00,Eastbound Centre Lane,art6,Weekday,Autumn,26.0,545
00:00,Eastbound Centre Lane,art6,Weekday,Spring,51.0,555
00:00,Eastbound Centre Lane,art6,Weekday,Summer,30.0,586
00:00,Eastbound Centre Lane,art6,Weekday,Winter,24.0,435
00:00,Eastbound Centre Lane,art6,Weekend,Autumn,5.0,221
00:00,Eastbound Centre Lane,art6,Weekend,Spring,6.0,228
00:00,Eastbound Centre Lane,art6,Weekend,Summer,12.0,236
00:00,Eastbound Centre Lane,art6,Weekend,Winter,2.0,178
00:00,Eastbound Centre Lane,bd,Weekday,Autumn,4.0,545
00:00,Eastbound Centre Lane,bd,Weekday,Spring,5.0,555
00:00,Eastbound Centre Lane,bd,Weekday,Summer,4.0,586
00:00,Eastbound Centre Lane,bd,Weekday,Winter,0.0,435
00:00,Eastbound Centre Lane,bd,Weekend,Autumn,0.0,221
00:00,Eastbound Centre Lane,bd,Weekend,Spring,0.0,228
00:00,Eastbound Centre Lane,bd,Weekend,Summer,0.0,236
00:00,Eastbound Centre Lane,bd,Weekend,Winter,0.0,178
00:00,Eastbound Centre Lane,drt,Weekday,Autumn,0.0,545
00:00,Eastbound Centre Lane,drt,Weekday,Spring,0.0,555
00:00,Eastbound Centre Lane,drt,Weekday,Summer,0.0,586
00:00,Eastbound Centre Lane,drt,Weekday,Winter,0.0,435
00:00,Eastbound Centre Lane,drt,Weekend,Autumn,0.0,221
00:00,Eastbound Centre Lane,drt,Weekend,Spring,0.0,228
00:00,Eastbound Centre Lane,drt,Weekend,Summer,0.0,236
00:00,Eastbound Centre Lane,drt,Weekend,Winter,0.0,178
00:00,Eastbound Centre Lane,sv,Weekday,Autumn,4680.0,545
00:00,Eastbound Centre Lane,sv,Weekday,Spring,5010.0,555
00:00,Eastbound Centre Lane,sv,Weekday,Summer,6317.0,586
00:00,Eastbound Centre Lane,sv,Weekday,Winter,3889.0,435
00:00,Eastbound Centre Lane,sv,Weekend,Autumn,4205.0,221
00:00,Eastbound Centre Lane,sv,Weekend,Spring,4791.0,228
00:00,Eastbound Centre Lane,sv,Weekend,Summer,5293.0,236
00:00,Eastbound Centre Lane,sv,Weekend,Winter,3674.0,178
00:00,Eastbound Centre Lane,svt,Weekday,Autumn,8.0,545
00:00,Eastbound Centre Lane,svt,Weekday,Spring,6.0,555
00:00,Eastbound Centre Lane,svt,Weekday,Summer,10.0,586
00:00,Eastbound Centre Lane,svt,Weekday,Winter,6.0,435
00:00,Eastbound Centre Lane,svt,Weekend,Autumn,7.0,221
00:00,Eastbound Centre Lane,svt,Weekend,Spring,10.0,228
00:00,Eastbound Centre Lane,svt,Weekend,Summer,7.0,236
00:00,Eastbound Centre Lane,svt,Weekend,Winter,8.0,178
00:00,Eastbound Centre Lane,t4,Weekday,Autumn,6.0,545
00:00,Eastbound Centre Lane,t4,Weekday,Spring,6.0,555
00:00,Eastbound Centre Lane,t4,Weekday,Summer,3.0,586
00:00,Eastbound Centre Lane,t4,Weekday,Winter,1.0,435
00:00,Eastbound Centre Lane,t4,Weekend,Autumn,1.0,221
00:00,Eastbound Centre Lane,t4,Weekend,Spring,1.0,228
00:00,Eastbound Centre Lane,t4,Weekend,Summer,0.0,236
00:00,Eastbound Centre Lane,t4,Weekend,Winter,0.0,178
00:00,Eastbound Centre Lane,tb2,Weekday,Autumn,248.0,545
00:00,Eastbound Centre Lane,tb2,Weekday,Spring,226.0,555
00:00,Eastbound Centre Lane,tb2,Weekday,Summer,227.0,586
00:00,Eastbound Centre Lane,tb2,Weekday,Winter,163.0,435
00:00,Eastbound Centre Lane,tb2,Weekend,Autumn,225.0,221
00:00,Eastbound Centre Lane,tb2,Weekend,Spring,258.0,228
00:00,Eastbound Centre Lane,tb2,Weekend,Summer,262.0,236
00:00,Eastbound Centre Lane,tb2,Weekend,Winter,192.0,178
00:00,Eastbound Centre Lane,tb3,Weekday,Autumn,27.0,545
00:00,Eastbound Centre Lane,tb3,Weekday,Spring,11.0,555
00:00,Eastbound Centre Lane,tb3,Weekday,Summer,23.0,586
00:00,Eastbound Centre Lane,tb3,Weekday,Winter,6.0,435
00:00,Eastbound Centre Lane,tb3,Weekend,Autumn,0.0,221
00:00,Eastbound Centre Lane,tb3,Weekend,Spring,2.0,228
00:00,Eastbound Centre Lane,tb3,Weekend,Summer,0.0,236
00:00,Eastbound Centre Lane,tb3,Weekend,Winter,0.0,178
00:00,Eastbound Centre Lane,total_flow,Weekday,Autumn,5027.0,545
00:00,Eastbound Centre Lane,total_flow,Weekday,Spring,5342.0,555
00:00,Eastbound Centre Lane,total_flow,Weekday,Summer,6652.0,586
00:00,Eastbound Centre Lane,total_flow,Weekday,Winter,4100.0,435
00:00,Eastbound Centre Lane,total_flow,Weekend,Autumn,4445.0,221
00:00,Eastbound Centre Lane,total_flow,Weekend,Spring,5080.0,228
00:00,Eastbound Centre Lane,total_flow,Weekend,Summer,5580.0,236
00:00,Eastbound Centre Lane,total_flow,Weekend,Winter,3877.0,178
00:00,Eastbound Centre Lane,trt,Weekday,Autumn,0.0,545
00:00,Eastbound Centre Lane,trt,Weekday,Spring,0.0,555
00:00,Eastbound Centre Lane,trt,Weekday,Summer,0.0,586
00:00,Eastbound Centre Lane,trt,Weekday,Winter,0.0,435
00:00,Eastbound Centre Lane,trt,Weekend,Autumn,0.0,221
00:00,Eastbound Centre Lane,trt,Weekend,Spring,0.0,228
00:00,Eastbound Centre Lane,trt,Weekend,Summer,0.0,236
00:00,Eastbound Centre Lane,trt,Weekend,Winter,0.0,178
00:00,Eastbound Centre Lane,ucv,Weekday,Autumn,0.0,545
00:00,Eastbound Centre Lane,ucv,Weekday,Spring,0.0,555
00:00,Eastbound Centre Lane,ucv,Weekday,Summer,0.0,586
00:00,Eastbound Centre Lane,ucv,Weekday,Winter,0.0,435
00:00,Eastbound Centre Lane,ucv,Weekend,Autumn,0.0,221
00:00,Eastbound Centre Lane,ucv,Weekend,Spring,0.0,228
00:00,Eastbound Centre Lane,ucv,Weekend,Summer,0.0,236
00:00,Eastbound Centre Lane,ucv,Weekend,Winter,0.0,178
00:00,Eastbound Left Lane,art3,Weekday,Autumn,0.0,427
00:00,Eastbound Left Lane,art3,Weekday,Spring,0.0,467
00:00,Eastbound Left Lane,art3,Weekday,Summer,1.0,509
00:00,Eastbound Left Lane,art3,Weekday,Winter,0.0,352
00:00,Eastbound Left Lane,art3,Weekend,Autumn,0.0,209
00:00,Eastbound Left Lane,art3,Weekend,Spring,0.0,227
00:00,Eastbound Left Lane,art3,Weekend,Summer,0.0,232
