weekday,direction,metric,weekpart,season,sum_flow,sample_count
Mon,Northern Shared Path Eastbound,total_flow,Weekday,Autumn,824.0,13
Mon,Northern Shared Path Eastbound,total_flow,Weekday,Spring,1848.0,31
Mon,Northern Shared Path Eastbound,total_flow,Weekday,Summer,1683.0,28
Mon,Northern Shared Path Eastbound,total_flow,Weekday,Winter,671.0,13
Mon,Northern Shared Path Westbound,pcl,Weekday,Autumn,431.0,13
Mon,Northern Shared Path Westbound,pcl,Weekday,Spring,1099.0,31
Mon,Northern Shared Path Westbound,pcl,Weekday,Summer,879.0,28
Mon,Northern Shared Path Westbound,pcl,Weekday,Winter,406.0,13
Mon,Northern Shared Path Westbound,ped,Weekday,Autumn,148.0,13
Mon,Northern Shared Path Westbound,ped,Weekday,Spring,333.0,31
Mon,Northern Shared Path Westbound,ped,Weekday,Summer,343.0,28
Mon,Northern Shared Path Westbound,ped,Weekday,Winter,84.0,13
Mon,Northern Shared Path Westbound,total_flow,Weekday,Autumn,579.0,13
Mon,Northern Shared Path Westbound,total_flow,Weekday,Spring,1432.0,31
Mon,Northern Shared Path Westbound,total_flow,Weekday,Summer,1222.0,28
Mon,Northern Shared Path Westbound,total_flow,Weekday,Winter,490.0,13
Mon,Southern Shared Path Eastbound,pcl,Weekday,Autumn,518.0,13
Mon,Southern Shared Path Eastbound,pcl,Weekday,Spring,1261.0,31
Mon,Southern Shared Path Eastbound,pcl,Weekday,Summer,1139.0,28
Mon,Southern Shared Path Eastbound,pcl,Weekday,Winter,532.0,13
Mon,Southern Shared Path Eastbound,ped,Weekday,Autumn,211.0,13
Mon,Southern Shared Path Eastbound,ped,Weekday,Spring,449.0,31
Mon,Southern Shared Path Eastbound,ped,Weekday,Summer,615.0,28
Mon,Southern Shared Path Eastbound,ped,Weekday,Winter,157.0,13
Mon,Southern Shared Path Eastbound,total_flow,Weekday,Autumn,729.0,13
Mon,Southern Shared Path Eastbound,total_flow,Weekday,Spring,1710.0,31
Mon,Southern Shared Path Eastbound,total_flow,Weekday,Summer,1754.0,28
Mon,Southern Shared Path Eastbound,total_flow,Weekday,Winter,689.0,13
Mon,Southern Shared Path Westbound,pcl,Weekday,Autumn,761.0,13
Mon,Southern Shared Path Westbound,pcl,Weekday,Spring,1786.0,31
Mon,Southern Shared Path Westbound,pcl,Weekday,Summer,1793.0,28
Mon,Southern Shared Path Westbound,pcl,Weekday,Winter,756.0,13
Mon,Southern Shared Path Westbound,ped,Weekday,Autumn,223.0,13
Mon,Southern Shared Path Westbound,ped,Weekday,Spring,407.0,31
Mon,Southern Shared Path Westbound,ped,Weekday,Summer,560.0,28
Mon,Southern Shared Path Westbound,ped,Weekday,Winter,142.0,13
Mon,Southern Shared Path Westbound,total_flow,Weekday,Autumn,984.0,13
Mon,Southern Shared Path Westbound,total_flow,Weekday,Spring,2193.0,31
Mon,Southern Shared Path Westbound,total_flow,Weekday,Summer,2353.0,28
Mon,Southern Shared Path Westbound,total_flow,Weekday,Winter,898.0,13
Sat,All directions,pcl,Weekend,Autumn,1790.0,13
Sat,All directions,pcl,Weekend,Spring,3742.0,32
Sat,All directions,pcl,Weekend,Summer,3449.0,27
Sat,All directions,pcl,Weekend,Winter,1338.0,14
Sat,All directions,ped,Weekend,Autumn,695.0,13
Sat,All directions,ped,Weekend,Spring,1514.0,32
Sat,All directions,ped,Weekend,Summer,1486.0,27
Sat,All directions,ped,Weekend,Winter,530.0,14
Sat,All directions,total_flow,Weekend,Autumn,2485.0,13
Sat,All directions,total_flow,Weekend,Spring,5256.0,32
Sat,All directions,total_flow,Weekend,Summer,4935.0,27
Sat,All directions,total_flow,Weekend,Winter,1868.0,14
Sat,Northern Shared Path Eastbound,pcl,Weekend,Autumn,430.0,13
Sat,Northern Shared Path Eastbound,pcl,Weekend,Spring,873.0,32
Sat,Northern Shared Path Eastbound,pcl,Weekend,Summer,803.0,27
Sat,Northern Shared Path Eastbound,pcl,Weekend,Winter,295.0,14
Sat,Northern Shared Path Eastbound,ped,Weekend,Autumn,193.0,13
Sat,Northern Shared Path Eastbound,ped,Weekend,Spring,337.0,32
Sat,Northern Shared Path Eastbound,ped,Weekend,Summer,318.0,27
Sat,Northern Shared Path Eastbound,ped,Weekend,Winter,125.0,14
Sat,Northern Shared Path Eastbound,total_flow,Weekend,Autumn,623.0,13
Sat,Northern Shared Path Eastbound,total_flow,Weekend,Spring,1210.0,32
Sat,Northern Shared Path Eastbound,total_flow,Weekend,Summer,1121.0,27
Sat,Northern Shared Path Eastbound,total_flow,Weekend,Winter,420.0,14
Sat,Northern Shared Path Westbound,pcl,Weekend,Autumn,277.0,13
Sat,Northern Shared Path Westbound,pcl,Weekend,Spring,565.0,32
Sat,Northern Shared Path Westbound,pcl,Weekend,Summer,467.0,27
Sat,Northern Shared Path Westbound,pcl,Weekend,Winter,205.0,14
Sat,Northern Shared Path Westbound,ped,Weekend,Autumn,151.0,13
Sat,Northern Shared Path Westbound,ped,Weekend,Spring,355.0,32
Sat,Northern Shared Path Westbound,ped,Weekend,Summer,290.0,27
Sat,Northern Shared Path Westbound,ped,Weekend,Winter,94.0,14
Sat,Northern Shared Path Westbound,total_flow,Weekend,Autumn,428.0,13
Sat,Northern Shared Path Westbound,total_flow,Weekend,Spring,920.0,32
Sat,Northern Shared Path Westbound,total_flow,Weekend,Summer,757.0,27
Sat,Northern Shared Path Westbound,total_flow,Weekend,Winter,299.0,14
Sat,Southern Shared Path Eastbound,pcl,Weekend,Autumn,417.0,13
Sat,Southern Shared Path Eastbound,pcl,Weekend,Spring,860.0,32
Sat,Southern Shared Path Eastbound,pcl,Weekend,Summer,831.0,27
Sat,Southern Shared Path Eastbound,pcl,Weekend,Winter,329.0,14
Sat,Southern Shared Path Eastbound,ped,Weekend,Autumn,144.0,13
Sat,Southern Shared Path Eastbound,ped,Weekend,Spring,347.0,32
Sat,Southern Shared Path Eastbound,ped,Weekend,Summer,392.0,27
Sat,Southern Shared Path Eastbound,ped,Weekend,Winter,116.0,14
Sat,Southern Shared Path Eastbound,total_flow,Weekend,Autumn,561.0,13
Sat,Southern Shared Path Eastbound,total_flow,Weekend,Spring,1207.0,32
Sat,Southern Shared Path Eastbound,total_flow,Weekend,Summer,1223.0,27
Sat,Southern Shared Path Eastbound,total_flow,Weekend,Winter,445.0,14
Sat,Southern Shared Path Westbound,pcl,Weekend,Autumn,666.0,13
Sat,Southern Shared Path Westbound,pcl,Weekend,Spring,1444.0,32
Sat,Southern Shared Path Westbound,pcl,Weekend,Summer,1348.0,27
Sat,Southern Shared Path Westbound,pcl,Weekend,Winter,509.0,14
Sat,Southern Shared Path Westbound,ped,Weekend,Autumn,207.0,13
Sat,Southern Shared Path Westbound,ped,Weekend,Spring,475.0,32
Sat,Southern Shared Path Westbound,ped,Weekend,Summer,486.0,27
Sat,Southern Shared Path Westbound,ped,Weekend,Winter,195.0,14
Sat,Southern Shared Path Westbound,total_flow,Weekend,Autumn,873.0,13
Sat,Southern Shared Path Westbound,total_flow,Weekend,Spring,1919.0,32
Sat,Southern Shared Path Westbound,total_flow,Weekend,Summer,1834.0,27
Sat,Southern Shared Path Westbound,total_flow,Weekend,Winter,704.0,14
Sun,All directions,pcl,Weekend,Autumn,1530.0,13
Sun,All directions,pcl,Weekend,Spring,2951.0,32
Sun,All directions,pcl,Weekend,Summer,2905.0,27
Sun,All directions,pcl,Weekend,Winter,983.0,13
Sun,All directions,ped,Weekend,Autumn,746.0,13
Sun,All directions,ped,Weekend,Spring,1671.0,32
Sun,All directions,ped,Weekend,Summer,2252.0,27
Sun,All directions,ped,Weekend,Winter,507.0,13
Sun,All directions,total_flow,Weekend,Autumn,2276.0,13
Sun,All directions,total_flow,Weekend,Spring,4622.0,32
Sun,All directions,total_flow,Weekend,Summer,5157.0,27
Sun,All directions,total_flow,Weekend,Winter,1490.0,13
Sun,Northern Shared Path Eastbound,pcl,Weekend,Autumn,404.0,13
Sun,Northern Shared Path Eastbound,pcl,Weekend,Spring,766.0,32
Sun,Northern Shared Path Eastbound,pcl,Weekend,Summer,735.0,27
Sun,Northern Shared Path Eastbound,pcl,Weekend,Winter,276.0,13
Sun,Northern Shared Path Eastbound,ped,Weekend,Autumn,201.0,13
Sun,Northern Shared Path Eastbound,ped,Weekend,Spring,382.0,32
Sun,Northern Shared Path Eastbound,ped,Weekend,Summer,517.0,27
Sun,Northern Shared Path Eastbound,ped,Weekend,Winter,103.0,13
Sun,Northern Shared Path Eastbound,total_flow,Weekend,Autumn,605.0,13
Sun,Northern Shared Path Eastbound,total_flow,Weekend,Spring,1148.0,32
Sun,Northern Shared Path Eastbound,total_flow,Weekend,Summer,1252.0,27
Sun,Northern Shared Path Eastbound,total_flow,Weekend,Winter,379.0,13
Sun,Northern Shared Path Westbound,pcl,Weekend,Autumn,194.0,13
Sun,Northern Shared Path Westbound,pcl,Weekend,Spring,414.0,32
Sun,Northern Shared Path Westbound,pcl,Weekend,Summer,363.0,27
Sun,Northern Shared Path Westbound,pcl,Weekend,Winter,134.0,13
Sun,Northern Shared Path Westbound,ped,Weekend,Autumn,159.0,13
Sun,Northern Shared Path Westbound,ped,Weekend,Spring,298.0,32
Sun,Northern Shared Path Westbound,ped,Weekend,Summer,422.0,27
Sun,Northern Shared Path Westbound,ped,Weekend,Winter,84.0,13
Sun,Northern Shared Path Westbound,total_flow,Weekend,Autumn,353.0,13
Sun,Northern Shared Path Westbound,total_flow,Weekend,Spring,712.0,32
Sun,Northern Shared Path Westbound,total_flow,Weekend,Summer,785.0,27
Sun,Northern Shared Path Westbound,total_flow,Weekend,Winter,218.0,13
Sun,Southern Shared Path Eastbound,pcl,Weekend,Autumn,368.0,13
Sun,Southern Shared Path Eastbound,pcl,Weekend,Spring,650.0,32
Sun,Southern Shared Path Eastbound,pcl,Weekend,Summer,674.0,27
Sun,Southern Shared Path Eastbound,pcl,Weekend,Winter,221.0,13
Sun,Southern Shared Path Eastbound,ped,Weekend,Autumn,165.0,13
Sun,Southern Shared Path Eastbound,ped,Weekend,Spring,440.0,32
Sun,Southern Shared Path Eastbound,ped,Weekend,Summer,594.0,27
Sun,Southern Shared Path Eastbound,ped,Weekend,Winter,134.0,13
Sun,Southern Shared Path Eastbound,total_flow,Weekend,Autumn,533.0,13
Sun,Southern Shared Path Eastbound,total_flow,Weekend,Spring,1090.0,32
Sun,Southern Shared Path Eastbound,total_flow,Weekend,Summer,1268.0,27
Sun,Southern Shared Path Eastbound,total_flow,Weekend,Winter,355.0,13
Sun,Southern Shared Path Westbound,pcl,Weekend,Autumn,564.0,13
Sun,Southern Shared Path Westbound,pcl,Weekend,Spring,1121.0,32
Sun,Southern Shared Path Westbound,pcl,Weekend,Summer,1133.0,27
Sun,Southern Shared Path Westbound,pcl,Weekend,Winter,352.0,13
