date,time_bin,direction,total_flow,ped,pcl
2023-09-01,01:20,All directions,0.0,0.0,0.0
2023-09-01,01:20,Northern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,01:20,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,01:20,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,01:20,Southern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,01:25,All directions,0.0,0.0,0.0
2023-09-01,01:25,Northern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,01:25,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,01:25,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,01:25,Southern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,01:30,All directions,1.0,1.0,0.0
2023-09-01,01:30,Northern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,01:30,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,01:30,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,01:30,Southern Shared Path Westbound,1.0,1.0,0.0
2023-09-01,01:35,All directions,0.0,0.0,0.0
2023-09-01,01:35,Northern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,01:35,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,01:35,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,01:35,Southern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,01:40,All directions,0.0,0.0,0.0
2023-09-01,01:40,Northern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,01:40,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,01:40,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,01:40,Southern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,01:45,All directions,1.0,1.0,0.0
2023-09-01,01:45,Northern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,01:45,Northern Shared Path Westbound,0.0,0.0,0.0
